,importance
lowLevel.hfc.mean,211.5641245927734
lowLevel.spectral_energy.mean,93.00694915945951
lowLevel.spectral_energy.stdev,71.77573709944409
lowLevel.silence_rate_60dB.mean,41.277674452235715
lowLevel.spectral_complexity.mean,21.625474827485505
lowLevel.hfc.stdev,19.87711209686563
lowLevel.spectral_complexity.stdev,19.03566127083741
lowLevel.barkbands.stdev.12,6.913835175512702
lowLevel.spectral_energyband_middle_low.mean,6.437466339052662
lowLevel.spectral_energyband_middle_low.stdev,6.0474521945614015
lowLevel.barkbands.stdev.26,5.849625437913232
lowLevel.spectral_energyband_middle_high.mean,5.546224469808976
lowLevel.spectral_strongpeak.stdev,3.2450281185342646
lowLevel.barkbands.stdev.5,3.1122627998706776
lowLevel.mfcc.stdev.9,2.9559156787922802
lowLevel.barkbands.mean.13,2.8866603480942103
lowLevel.pitch_instantaneous_confidence.stdev,2.6470696552062236
lowLevel.barkbands.mean.16,2.591755833480306
lowLevel.barkbands.mean.5,2.4944456647582456
lowLevel.barkbands.stdev.25,2.4785459197114506
lowLevel.barkbands.mean.11,2.4734646236358913
lowLevel.mfcc.stdev.8,2.31295571301348
lowLevel.mfcc.stdev.10,2.1367046737668716
lowLevel.barkbands.mean.25,1.902276535857709
lowLevel.spectral_energyband_high.mean,1.7695745856231042
lowLevel.spectral_rms.stdev,1.7533190150852533
lowLevel.barkbands.mean.10,1.655421283726639
lowLevel.mfcc.stdev.11,1.618829480774366
lowLevel.spectral_rms.mean,1.5835811460237892
lowLevel.spectral_strongpeak.mean,1.4721785150500182
lowLevel.barkbands.mean.8,1.4630898091029394
lowLevel.barkbands.mean.15,1.3396005956594763
lowLevel.mfcc.mean.0,1.272162980094663
lowLevel.mfcc.stdev.7,1.2688540162580466
lowLevel.scvalleys.stdev.3,1.2182058290204623
lowLevel.barkbands.mean.26,1.1204304281148154
lowLevel.sccoeffs.mean.4,1.040533561482846
lowLevel.spectral_energyband_middle_high.stdev,0.9903518687585802
lowLevel.mfcc.stdev.0,0.9542113882801004
lowLevel.mfcc.stdev.12,0.9351616286107856
lowLevel.sccoeffs.mean.3,0.930160010114605
lowLevel.sccoeffs.mean.2,0.895897440211229
lowLevel.barkbands.stdev.11,0.8531065426305986
lowLevel.spectral_spread.mean,0.8241109329862866
lowLevel.spectral_decrease.mean,0.8203101305307428
lowLevel.barkbands.mean.17,0.8097686229930332
lowLevel.scvalleys.mean.5,0.8052203768702384
lowLevel.spectral_energyband_high.stdev,0.7997060947907357
lowLevel.barkbands.mean.18,0.7940490917108036
lowLevel.scvalleys.stdev.2,0.7725223977511178
lowLevel.spectral_crest.stdev,0.7250725536764548
lowLevel.sccoeffs.stdev.2,0.7027443454792319
sfx.tristimulus.stdev.0,0.6880160197348459
lowLevel.barkbands.stdev.4,0.658471015548912
lowLevel.barkbands.stdev.7,0.6228099763966384
lowLevel.spectral_rolloff.mean,0.6032186364577683
lowLevel.barkbands.mean.12,0.5901802077924572
lowLevel.barkbands.stdev.9,0.5766223368573264
lowLevel.mfcc.mean.8,0.5560772686060318
lowLevel.barkbands_skewness.stdev,0.5545486535430655
lowLevel.barkbands.stdev.8,0.544873306756017
lowLevel.scvalleys.stdev.4,0.5344481605502551
